_epoch,train_loss,valid_loss,acc,val_acc,lr,early_stopping,elapsed_time
1,2.258537,2.096775,0.182,0.204,0.100000,0,3
2,2.036097,2.034907,0.238,0.236,0.100000,0,7
3,1.954329,1.990006,0.264,0.247,0.100000,0,11
4,1.887423,2.028736,0.287,0.246,0.100000,1,14
5,1.833173,1.884622,0.308,0.274,0.100000,0,18
6,1.776398,1.829040,0.329,0.299,0.100000,0,22
7,1.736389,1.854524,0.344,0.307,0.100000,0,26
8,1.701204,1.747691,0.359,0.325,0.100000,0,29
9,1.679591,1.805204,0.366,0.312,0.100000,1,33
10,1.658365,1.741825,0.372,0.347,0.100000,0,37
11,1.639793,1.701348,0.380,0.343,0.100000,1,40
12,1.627612,1.872288,0.386,0.297,0.100000,2,44
13,1.621215,1.775955,0.387,0.324,0.100000,3,48
14,1.602258,1.717883,0.395,0.339,0.100000,4,51
15,1.593632,1.726075,0.399,0.311,0.100000,5,55
16,1.586900,1.701500,0.404,0.346,0.100000,6,59
17,1.577275,1.680214,0.408,0.350,0.100000,0,62
18,1.572426,1.715202,0.407,0.343,0.100000,1,66
19,1.571380,1.691551,0.408,0.353,0.100000,0,70
20,1.565920,1.784255,0.408,0.327,0.100000,1,73
21,1.558548,1.658189,0.413,0.361,0.100000,0,77
22,1.560258,1.677820,0.412,0.357,0.100000,1,81
23,1.550218,1.623804,0.416,0.376,0.100000,0,85
24,1.550467,1.899614,0.415,0.304,0.100000,1,88
25,1.543569,1.749959,0.421,0.325,0.100000,2,92
26,1.546238,1.691982,0.415,0.353,0.100000,3,96
27,1.536698,1.709397,0.420,0.348,0.100000,4,99
28,1.536193,1.707244,0.420,0.369,0.100000,5,103
29,1.536671,1.742044,0.421,0.348,0.100000,6,107
30,1.533988,1.658615,0.422,0.364,0.100000,7,110
31,1.531148,1.636602,0.424,0.349,0.100000,8,114
32,1.531078,1.656128,0.422,0.357,0.100000,9,118
33,1.525763,1.647351,0.428,0.362,0.100000,10,121
34,1.519389,1.819661,0.426,0.328,0.100000,11,125
35,1.525510,1.663097,0.423,0.362,0.100000,12,129
36,1.521657,1.751654,0.426,0.330,0.100000,13,132
37,1.519216,1.694490,0.429,0.358,0.100000,14,136
38,1.520922,1.768238,0.427,0.349,0.100000,15,140
39,1.512839,1.653647,0.431,0.369,0.100000,16,144
40,1.512309,1.607987,0.432,0.379,0.100000,0,147
41,1.516579,1.657405,0.427,0.365,0.100000,1,151
42,1.512857,1.660458,0.431,0.350,0.100000,2,155
43,1.512565,1.697531,0.430,0.350,0.100000,3,158
44,1.515744,1.811141,0.427,0.337,0.100000,4,162
45,1.512986,1.844738,0.426,0.317,0.100000,5,166
46,1.511815,1.572062,0.431,0.381,0.100000,0,169
