_epoch,train_loss,valid_loss,acc,val_acc,lr,early_stopping,elapsed_time
1,2.306198,2.138809,0.161,0.196,0.100000,0,3
2,2.063382,2.066900,0.232,0.218,0.100000,0,7
3,1.958140,1.975251,0.265,0.253,0.100000,0,9
4,1.889439,1.964587,0.294,0.261,0.100000,0,13
5,1.831883,1.970415,0.312,0.269,0.100000,0,15
6,1.775872,1.786318,0.334,0.323,0.100000,0,18
7,1.741760,1.779386,0.343,0.307,0.100000,1,22
8,1.708425,1.791458,0.358,0.319,0.100000,2,25
9,1.684636,1.995016,0.364,0.283,0.100000,3,27
10,1.663667,1.773846,0.374,0.330,0.100000,0,31
11,1.644011,1.766734,0.383,0.323,0.100000,1,34
12,1.631859,1.830915,0.385,0.316,0.100000,2,37
13,1.621260,1.711494,0.389,0.340,0.100000,0,39
14,1.609603,1.638839,0.394,0.369,0.100000,0,42
15,1.592877,1.699036,0.399,0.358,0.100000,1,45
16,1.585635,1.806506,0.402,0.323,0.100000,2,48
17,1.586535,1.681520,0.403,0.365,0.100000,3,51
18,1.577259,1.682509,0.407,0.358,0.100000,4,54
19,1.570394,1.773636,0.408,0.335,0.100000,5,57
20,1.569473,1.652533,0.410,0.371,0.100000,0,61
21,1.562926,1.755315,0.412,0.341,0.100000,1,64
22,1.560175,1.723663,0.412,0.340,0.100000,2,67
23,1.553741,1.731315,0.415,0.338,0.100000,3,70
24,1.553188,1.788577,0.417,0.348,0.100000,4,73
25,1.545306,1.697449,0.421,0.352,0.100000,5,76
26,1.543629,1.647866,0.421,0.369,0.100000,6,79
27,1.539997,1.615862,0.421,0.380,0.100000,0,82
28,1.540732,1.722703,0.422,0.353,0.100000,1,85
29,1.533568,1.754939,0.423,0.355,0.100000,2,88
30,1.533542,1.858207,0.421,0.310,0.100000,3,91
31,1.529289,1.677955,0.425,0.372,0.100000,4,94
32,1.528149,1.678178,0.425,0.368,0.100000,5,96
33,1.524067,1.705512,0.428,0.358,0.100000,6,100
34,1.525806,1.737977,0.426,0.333,0.100000,7,102
35,1.523238,1.593105,0.426,0.402,0.100000,0,105
36,1.516061,1.816366,0.432,0.334,0.100000,1,108
37,1.521898,1.622597,0.432,0.377,0.100000,2,111
38,1.522395,1.650000,0.429,0.358,0.100000,3,114
39,1.518018,1.673348,0.429,0.365,0.100000,4,117
40,1.514411,1.617509,0.432,0.385,0.100000,5,120
41,1.523433,1.696628,0.426,0.356,0.100000,6,123
42,1.518898,1.622257,0.431,0.386,0.100000,7,126
43,1.514322,1.638625,0.432,0.378,0.100000,8,129
44,1.513349,1.679032,0.432,0.376,0.100000,9,132
45,1.507705,1.632044,0.435,0.365,0.100000,10,135
46,1.509154,1.679186,0.432,0.367,0.100000,11,139
47,1.511492,1.682700,0.432,0.363,0.100000,12,141
48,1.512383,1.666791,0.432,0.361,0.100000,13,144
49,1.508973,1.649231,0.434,0.365,0.100000,14,148
50,1.506191,1.655912,0.436,0.366,0.100000,15,151
51,1.505138,1.610516,0.434,0.381,0.100000,16,154
52,1.506230,1.635118,0.436,0.383,0.100000,17,157
53,1.505147,1.658094,0.438,0.374,0.100000,18,159
54,1.506198,1.593932,0.433,0.393,0.100000,19,162
55,1.500059,1.656134,0.433,0.372,0.100000,20,165
56,1.503383,1.617444,0.436,0.387,0.100000,21,168
57,1.498215,1.669822,0.435,0.367,0.100000,22,171
58,1.499928,1.609901,0.436,0.374,0.100000,23,174
59,1.500041,1.607838,0.439,0.389,0.100000,24,177
60,1.500723,1.640354,0.435,0.367,0.100000,25,180
61,1.503206,1.682336,0.438,0.363,0.100000,26,182
62,1.498537,1.710944,0.438,0.360,0.100000,27,185
63,1.501426,1.575237,0.436,0.391,0.100000,28,188
64,1.496874,1.648927,0.437,0.371,0.100000,29,191
65,1.502019,1.640711,0.436,0.384,0.100000,30,193
66,1.500729,1.674539,0.433,0.371,0.100000,31,196
