_epoch,train_loss,valid_loss,acc,val_acc,lr,early_stopping,elapsed_time
1,0.101916,2.046177,0.214,0.235,0.1000,0,3
2,0.095602,1.971772,0.266,0.267,0.1000,0,7
3,0.092972,1.924318,0.293,0.290,0.1000,0,11
4,0.090611,1.945186,0.316,0.276,0.1000,1,14
5,0.088877,1.879077,0.335,0.293,0.1000,0,18
6,0.087531,1.823663,0.348,0.328,0.1000,0,22
7,0.086670,1.803172,0.361,0.341,0.1000,0,26
8,0.085776,1.871526,0.369,0.318,0.1000,1,29
9,0.085028,1.770544,0.381,0.361,0.1000,0,33
10,0.084570,1.782705,0.386,0.356,0.1000,1,37
11,0.084083,1.774752,0.391,0.346,0.1000,2,40
12,0.083723,1.800959,0.396,0.340,0.1000,3,44
13,0.083458,1.771184,0.399,0.355,0.1000,4,48
14,0.083005,1.763659,0.405,0.363,0.1000,0,51
15,0.082673,1.729191,0.406,0.380,0.1000,0,55
16,0.082565,1.744148,0.410,0.374,0.1000,1,59
17,0.082372,1.758704,0.411,0.361,0.1000,2,63
18,0.082290,1.717753,0.412,0.373,0.1000,3,66
19,0.082075,1.735857,0.415,0.383,0.1000,0,70
20,0.081933,1.704685,0.417,0.387,0.1000,0,74
21,0.081694,1.724113,0.417,0.374,0.1000,1,77
22,0.081713,1.722194,0.418,0.391,0.1000,0,81
23,0.081608,1.711011,0.420,0.386,0.1000,1,85
24,0.081352,1.721317,0.422,0.375,0.1000,2,88
25,0.081326,1.752137,0.423,0.381,0.1000,3,92
26,0.081218,1.691593,0.425,0.390,0.1000,4,96
27,0.081096,1.684417,0.420,0.394,0.1000,0,100
28,0.080988,1.691929,0.427,0.389,0.1000,1,103
29,0.081108,1.720981,0.426,0.376,0.1000,2,107
30,0.080854,1.692820,0.427,0.386,0.1000,3,111
31,0.081385,1.707904,0.423,0.398,0.1000,0,114
32,0.080897,1.719524,0.427,0.393,0.1000,1,118
33,0.080792,1.704590,0.427,0.394,0.1000,2,122
34,0.080806,1.716262,0.426,0.393,0.1000,3,125
35,0.080671,1.677576,0.430,0.406,0.1000,0,129
36,0.080782,1.686313,0.428,0.395,0.1000,1,133
37,0.080477,1.707089,0.430,0.378,0.1000,2,137
38,0.080649,1.738824,0.427,0.383,0.1000,3,140
39,0.080544,1.694254,0.433,0.385,0.1000,4,144
40,0.080659,1.673580,0.429,0.391,0.1000,5,148
41,0.080454,1.678500,0.434,0.401,0.1000,6,151
42,0.080508,1.661578,0.430,0.398,0.1000,7,155
43,0.080519,1.693698,0.430,0.392,0.1000,8,159
44,0.080171,1.663643,0.434,0.407,0.1000,0,162
45,0.080413,1.773118,0.432,0.368,0.1000,1,166
46,0.080189,1.675132,0.433,0.396,0.1000,2,170
47,0.080251,1.708175,0.435,0.379,0.1000,3,174
48,0.080222,1.673366,0.435,0.404,0.1000,4,177
49,0.080298,1.672925,0.432,0.404,0.1000,5,181
50,0.080168,1.679176,0.433,0.388,0.1000,6,185
51,0.080360,1.710470,0.435,0.384,0.1000,7,188
52,0.080344,1.693801,0.433,0.388,0.1000,8,192
53,0.080146,1.676133,0.435,0.396,0.1000,9,196
54,0.080116,1.713073,0.434,0.379,0.1000,10,199
55,0.080074,1.661436,0.434,0.402,0.1000,11,203
56,0.080084,1.672437,0.435,0.407,0.1000,12,207
57,0.079935,1.716052,0.438,0.373,0.1000,13,211
58,0.080170,1.693988,0.437,0.403,0.1000,14,214
59,0.079916,1.673333,0.438,0.393,0.1000,15,218
60,0.080069,1.704584,0.435,0.386,0.1000,16,222
61,0.079968,1.779598,0.438,0.359,0.1000,17,225
62,0.079966,1.701113,0.436,0.402,0.1000,18,229
63,0.080014,1.671338,0.438,0.384,0.1000,19,233
64,0.080653,1.672772,0.431,0.408,0.1000,0,236
65,0.079815,1.682102,0.437,0.396,0.1000,1,240
66,0.079874,1.691993,0.435,0.388,0.1000,2,244
67,0.079960,1.687881,0.438,0.402,0.1000,3,248
68,0.079832,1.689350,0.438,0.395,0.1000,4,251
69,0.079833,1.683097,0.438,0.383,0.1000,5,255
70,0.079691,1.652335,0.442,0.407,0.1000,6,259
71,0.079825,1.657152,0.437,0.396,0.1000,7,262
72,0.079950,1.698227,0.436,0.392,0.1000,8,266
73,0.079852,1.675972,0.439,0.402,0.1000,9,270
74,0.079722,1.690505,0.439,0.388,0.1000,10,273
75,0.079756,1.864385,0.439,0.312,0.1000,11,277
76,0.081894,1.696248,0.419,0.401,0.1000,12,281
77,0.080147,1.714163,0.435,0.396,0.1000,13,284
78,0.080033,1.699388,0.437,0.386,0.1000,14,288
79,0.080004,1.712816,0.436,0.378,0.1000,15,292
80,0.079894,1.672990,0.438,0.392,0.1000,16,296
81,0.079767,1.691498,0.438,0.390,0.1000,17,299
82,0.079947,1.724608,0.437,0.365,0.1000,18,303
83,0.080123,1.667236,0.435,0.394,0.1000,19,307
84,0.079974,1.694209,0.434,0.392,0.1000,20,310
85,0.079862,1.697605,0.438,0.406,0.1000,21,314
86,0.079804,1.697730,0.437,0.384,0.1000,22,318
87,0.079830,1.667785,0.437,0.409,0.1000,0,321
88,0.079747,1.690209,0.441,0.386,0.1000,1,325
89,0.079827,1.693832,0.439,0.390,0.1000,2,329
90,0.079547,1.686425,0.441,0.397,0.1000,3,333
91,0.079678,1.662004,0.440,0.399,0.1000,4,336
92,0.079894,1.697276,0.437,0.382,0.1000,5,340
93,0.079823,1.674097,0.435,0.400,0.1000,6,344
94,0.079634,1.664616,0.441,0.397,0.1000,7,347
95,0.079884,1.710969,0.437,0.375,0.1000,8,351
