_epoch,train_loss,valid_loss,acc,val_acc,lr,early_stopping,elapsed_time
1,2.399110,2.160885,0.165,0.179,0.100000,0,2
2,2.101965,2.173516,0.220,0.214,0.100000,0,5
3,2.017894,2.048954,0.246,0.235,0.100000,0,7
4,1.960609,1.959167,0.268,0.266,0.100000,0,9
5,1.903039,1.904990,0.287,0.279,0.100000,0,12
6,1.856071,1.966892,0.304,0.267,0.100000,1,14
7,1.816957,1.938502,0.320,0.270,0.100000,2,17
8,1.778561,1.936261,0.333,0.275,0.100000,3,19
9,1.744023,1.765346,0.345,0.335,0.100000,0,22
10,1.710124,1.732814,0.359,0.352,0.100000,0,25
11,1.690326,1.784703,0.362,0.319,0.100000,1,27
12,1.670414,1.799920,0.375,0.317,0.100000,2,30
13,1.652383,1.781252,0.378,0.326,0.100000,3,32
14,1.642289,1.876204,0.381,0.311,0.100000,4,35
15,1.629233,1.773708,0.387,0.328,0.100000,5,38
16,1.620029,1.750904,0.392,0.334,0.100000,6,40
17,1.609671,1.737171,0.396,0.342,0.100000,7,42
18,1.602011,1.614791,0.400,0.382,0.100000,0,45
19,1.593027,1.845970,0.403,0.315,0.100000,1,48
20,1.589912,1.693680,0.403,0.355,0.100000,2,51
21,1.584772,1.716027,0.408,0.345,0.100000,3,53
22,1.577977,1.840692,0.411,0.333,0.100000,4,56
23,1.574803,1.674313,0.410,0.366,0.100000,5,58
24,1.570203,1.750243,0.411,0.338,0.100000,6,61
25,1.568679,1.642614,0.412,0.373,0.100000,7,63
26,1.561250,1.600457,0.414,0.399,0.100000,0,66
27,1.553795,1.665200,0.418,0.370,0.100000,1,69
28,1.553299,1.654691,0.420,0.369,0.100000,2,72
29,1.554070,1.624339,0.418,0.389,0.100000,3,74
30,1.550297,1.637522,0.422,0.370,0.100000,4,76
31,1.545735,1.648381,0.419,0.365,0.100000,5,78
32,1.540110,1.680977,0.424,0.362,0.100000,6,80
33,1.539431,1.687067,0.420,0.364,0.100000,7,82
34,1.541089,1.612305,0.427,0.390,0.100000,8,84
35,1.531607,1.634390,0.427,0.382,0.100000,9,87
36,1.536580,1.615417,0.424,0.385,0.100000,10,89
37,1.533219,1.890746,0.423,0.329,0.100000,11,92
38,1.531036,1.642512,0.427,0.373,0.100000,12,95
39,1.529962,1.592380,0.427,0.388,0.100000,13,97
40,1.528167,1.671351,0.428,0.375,0.100000,14,100
41,1.526376,1.605277,0.430,0.391,0.100000,15,103
42,1.530295,1.698547,0.426,0.373,0.100000,16,105
43,1.526000,1.618897,0.427,0.390,0.100000,17,108
44,1.525407,1.623682,0.428,0.377,0.100000,18,110
45,1.519145,1.630858,0.431,0.380,0.100000,19,113
46,1.521164,1.645516,0.432,0.377,0.100000,20,115
47,1.518255,1.580663,0.432,0.400,0.100000,0,119
48,1.520082,1.644440,0.433,0.372,0.100000,1,121
49,1.521176,1.658043,0.432,0.365,0.100000,2,123
50,1.519660,1.616862,0.431,0.385,0.100000,3,126
51,1.518306,1.599541,0.433,0.388,0.100000,4,127
52,1.516067,1.569786,0.432,0.403,0.100000,0,129
53,1.513068,1.720269,0.434,0.361,0.100000,1,131
54,1.515967,1.597189,0.435,0.389,0.100000,2,134
55,1.510927,1.609777,0.436,0.391,0.100000,3,137
56,1.511260,1.743775,0.434,0.362,0.100000,4,139
57,1.511695,1.708066,0.433,0.365,0.100000,5,142
58,1.512607,1.627345,0.436,0.379,0.100000,6,144
59,1.511108,1.788826,0.435,0.352,0.100000,7,147
60,1.512725,1.628412,0.437,0.389,0.100000,8,150
61,1.516151,1.813513,0.434,0.330,0.100000,9,152
62,1.509351,1.658183,0.434,0.378,0.100000,10,155
63,1.510765,1.649130,0.433,0.381,0.100000,11,157
64,1.510504,1.798681,0.434,0.334,0.100000,12,160
65,1.512823,1.704444,0.434,0.360,0.100000,13,163
66,1.506296,1.614162,0.437,0.383,0.100000,14,165
67,1.507584,1.641520,0.435,0.374,0.100000,15,168
68,1.506036,1.631957,0.437,0.378,0.100000,16,171
69,1.507728,1.666574,0.436,0.361,0.100000,17,173
70,1.511493,1.659656,0.434,0.375,0.100000,18,175
