_epoch,train_loss,valid_loss,acc,val_acc,lr,early_stopping,elapsed_time
1,2.290622,2.171159,0.174,0.185,0.1000,0,3
2,0.106774,2.103269,0.200,0.206,0.1000,0,7
3,0.101969,2.068600,0.231,0.236,0.1000,0,10
4,2.045258,2.043205,0.236,0.225,0.1000,1,14
5,0.098976,1.977431,0.267,0.266,0.1000,0,17
6,0.095584,1.945553,0.285,0.277,0.1000,0,21
7,1.978991,1.978631,0.263,0.255,0.1000,1,24
8,0.096045,1.911924,0.296,0.295,0.1000,0,28
9,0.092299,1.885535,0.316,0.302,0.1000,0,32
10,1.941129,2.054789,0.279,0.249,0.1000,1,35
11,0.095099,1.885719,0.308,0.315,0.1000,0,39
12,0.090555,1.846384,0.332,0.318,0.1000,0,42
13,1.916055,1.886930,0.285,0.278,0.1000,1,46
14,0.093369,1.840697,0.320,0.327,0.1000,0,49
15,0.088859,1.818399,0.347,0.328,0.1000,0,53
16,1.898360,1.918365,0.293,0.273,0.1000,1,56
17,0.093346,1.839813,0.322,0.330,0.1000,0,60
18,0.088174,1.794312,0.355,0.340,0.1000,0,64
19,1.886479,1.947110,0.292,0.268,0.1000,1,67
20,0.094031,1.828890,0.316,0.333,0.1000,2,71
21,0.087680,1.796506,0.359,0.336,0.1000,3,75
22,1.862794,1.860367,0.305,0.300,0.1000,4,78
23,0.091997,1.804098,0.340,0.343,0.1000,0,82
24,0.086842,1.786274,0.369,0.355,0.1000,0,85
25,1.861215,2.009778,0.306,0.240,0.1000,1,88
26,0.092676,1.812298,0.336,0.333,0.1000,2,92
27,0.087045,1.787685,0.370,0.357,0.1000,0,96
28,1.848903,1.863018,0.306,0.291,0.1000,1,99
29,0.092224,1.808856,0.337,0.352,0.1000,2,103
30,0.086484,1.765523,0.373,0.360,0.1000,0,107
31,1.838884,1.870106,0.311,0.283,0.1000,1,110
32,0.091123,1.786914,0.352,0.349,0.1000,2,114
33,0.086047,1.764836,0.378,0.367,0.1000,0,117
34,1.840220,1.857168,0.314,0.292,0.1000,1,121
35,0.090442,1.795497,0.352,0.359,0.1000,2,124
36,0.085908,1.765885,0.379,0.363,0.1000,3,128
37,1.841134,1.914645,0.313,0.290,0.1000,4,131
38,0.092408,1.797355,0.339,0.354,0.1000,5,135
39,0.086038,1.765263,0.378,0.356,0.1000,6,139
40,1.840395,1.817912,0.312,0.300,0.1000,7,142
41,0.090067,1.785732,0.357,0.362,0.1000,8,146
42,0.085726,1.761531,0.382,0.360,0.1000,9,149
43,1.838415,1.831914,0.310,0.304,0.1000,10,153
44,0.090510,1.788161,0.350,0.355,0.1000,11,156
45,0.085908,1.769936,0.378,0.360,0.1000,12,160
46,1.832740,1.882677,0.315,0.279,0.1000,13,163
47,0.090958,1.786993,0.350,0.346,0.1000,14,167
48,0.085712,1.766714,0.379,0.364,0.1000,15,171
49,1.833835,1.845352,0.319,0.301,0.1000,16,174
50,0.090119,1.795072,0.354,0.354,0.1000,17,178
51,0.085840,1.762518,0.380,0.365,0.1000,18,181
52,1.818763,1.949696,0.321,0.259,0.1000,19,185
53,0.091872,1.793635,0.337,0.349,0.1000,20,188
54,0.085705,1.768256,0.379,0.360,0.1000,21,192
55,1.828545,1.837163,0.318,0.298,0.1000,22,195
56,0.090745,1.795142,0.344,0.357,0.1000,23,199
57,0.085667,1.757258,0.380,0.360,0.1000,24,203
58,1.835408,1.794559,0.315,0.313,0.1000,25,206
59,0.090211,1.786673,0.355,0.358,0.1000,26,210
60,0.085761,1.771532,0.378,0.357,0.1000,27,213
61,1.829648,1.927185,0.316,0.282,0.1000,28,217
62,0.093253,1.811292,0.331,0.346,0.1000,29,220
63,0.086229,1.769957,0.377,0.359,0.1000,30,224
64,1.831476,1.957743,0.320,0.265,0.1000,31,227
65,0.091026,1.798216,0.348,0.357,0.1000,32,231
66,0.085933,1.766755,0.377,0.361,0.1000,33,235
67,1.826897,1.810958,0.319,0.298,0.1000,34,238
68,0.090713,1.782906,0.354,0.355,0.1000,35,242
69,0.085861,1.769420,0.381,0.366,0.1000,36,245
70,1.829423,1.871970,0.314,0.300,0.1000,37,249
71,0.091637,1.794023,0.345,0.352,0.1000,38,252
72,0.086091,1.783593,0.378,0.350,0.1000,39,256
73,1.828742,1.796794,0.316,0.291,0.1000,40,259
74,0.090342,1.795753,0.353,0.349,0.1000,41,263
75,0.085849,1.779141,0.379,0.346,0.1000,42,267
76,1.838900,1.857630,0.315,0.293,0.1000,43,270
77,0.090087,1.793821,0.357,0.351,0.1000,44,274
78,0.085792,1.758347,0.380,0.367,0.1000,0,277
79,1.840146,1.941461,0.315,0.264,0.1000,1,281
80,0.090673,1.792394,0.356,0.351,0.1000,2,284
81,0.086051,1.771149,0.377,0.354,0.1000,3,288
82,1.838613,1.957878,0.317,0.270,0.1000,4,291
83,0.090715,1.799737,0.350,0.346,0.1000,5,295
84,0.086264,1.789211,0.372,0.355,0.1000,6,299
85,1.841348,1.860032,0.315,0.291,0.1000,7,302
86,0.091691,1.805726,0.343,0.343,0.1000,8,306
87,0.086415,1.787106,0.373,0.351,0.1000,9,309
88,1.838523,1.886680,0.314,0.283,0.1000,10,313
89,0.091791,1.811017,0.339,0.349,0.1000,11,316
90,0.086512,1.777003,0.370,0.361,0.1000,12,320
91,1.832023,2.062619,0.314,0.234,0.1000,13,323
92,0.090665,1.794262,0.350,0.351,0.1000,14,327
93,0.086175,1.780042,0.375,0.344,0.1000,15,331
94,1.840780,1.853826,0.313,0.293,0.1000,16,334
95,0.091571,1.809415,0.340,0.348,0.1000,17,338
96,0.086488,1.787383,0.371,0.355,0.1000,18,341
97,1.836876,1.963215,0.314,0.259,0.1000,19,345
98,0.092308,1.813810,0.336,0.355,0.1000,20,348
99,0.086681,1.804627,0.372,0.336,0.1000,21,352
100,1.839262,1.873642,0.316,0.281,0.1000,22,355
101,0.095076,1.834619,0.348,0.335,0.0100,23,359
102,0.089820,1.813806,0.364,0.340,0.0100,24,363
103,1.670889,1.650460,0.373,0.357,0.0100,25,366
104,0.091891,1.746148,0.386,0.368,0.0100,0,370
105,0.086244,1.749304,0.392,0.373,0.0100,0,373
106,1.636016,1.636599,0.386,0.368,0.0100,1,377
107,0.090521,1.721400,0.388,0.372,0.0100,2,380
