_epoch,train_loss,valid_loss,acc,val_acc,lr,early_stopping,elapsed_time
1,0.196018,2.045880,0.345,0.220,0.100000,0,2
2,0.179062,1.995857,0.447,0.263,0.100000,0,5
3,0.170331,1.851890,0.504,0.298,0.100000,0,8
4,0.164510,1.828781,0.546,0.303,0.100000,0,10
5,0.160325,1.787844,0.574,0.317,0.100000,0,13
6,0.157144,1.763649,0.597,0.336,0.100000,0,16
7,0.154698,1.755749,0.614,0.345,0.100000,0,19
8,0.153108,1.720408,0.625,0.357,0.100000,0,21
9,0.151946,1.755558,0.632,0.346,0.100000,1,23
10,0.150891,1.724817,0.637,0.351,0.100000,2,26
11,0.149858,1.725943,0.644,0.358,0.100000,0,28
12,0.149288,1.699681,0.650,0.367,0.100000,0,31
13,0.148721,1.708331,0.651,0.359,0.100000,1,34
14,0.148013,1.696813,0.655,0.372,0.100000,0,36
15,0.147452,1.662471,0.659,0.379,0.100000,0,38
16,0.146860,1.712355,0.661,0.363,0.100000,1,41
17,0.146493,1.665517,0.665,0.392,0.100000,0,43
18,0.146107,1.707083,0.667,0.344,0.100000,1,46
19,0.145806,1.699764,0.669,0.368,0.100000,2,49
20,0.145057,1.653227,0.671,0.386,0.100000,3,51
21,0.144905,1.630024,0.675,0.388,0.100000,4,54
22,0.144566,1.626962,0.677,0.396,0.100000,0,57
23,0.144416,1.669944,0.675,0.383,0.100000,1,60
24,0.144188,1.663648,0.676,0.387,0.100000,2,63
25,0.144151,1.638882,0.677,0.397,0.100000,0,66
26,0.143744,1.664564,0.678,0.394,0.100000,1,69
27,0.143707,1.691021,0.682,0.380,0.100000,2,71
28,0.143453,1.659043,0.683,0.375,0.100000,3,75
29,0.143222,1.615222,0.683,0.402,0.100000,0,77
30,0.143283,1.731455,0.682,0.351,0.100000,1,80
31,0.142935,1.648832,0.686,0.390,0.100000,2,83
32,0.142878,1.617067,0.688,0.401,0.100000,3,85
33,0.142696,1.657007,0.685,0.387,0.100000,4,89
34,0.142614,1.609602,0.689,0.402,0.100000,0,91
35,0.142380,1.612702,0.686,0.409,0.100000,0,94
36,0.142097,1.625512,0.688,0.386,0.100000,1,98
37,0.142546,1.630988,0.687,0.405,0.100000,2,100
38,0.142298,1.643815,0.687,0.373,0.100000,3,103
39,0.142378,1.637070,0.688,0.389,0.100000,4,106
40,0.141953,1.621489,0.689,0.393,0.100000,5,108
41,0.142049,1.612361,0.690,0.398,0.100000,6,111
42,0.142333,1.646220,0.689,0.399,0.100000,7,114
43,0.142044,1.699083,0.687,0.372,0.100000,8,116
44,0.141759,1.645855,0.692,0.389,0.100000,9,119
45,0.142065,1.653860,0.691,0.373,0.100000,10,122
46,0.141809,1.674765,0.689,0.376,0.100000,11,125
47,0.141896,1.648308,0.692,0.388,0.100000,12,128
48,0.141633,1.624028,0.694,0.378,0.100000,13,131
49,0.141615,1.630974,0.691,0.390,0.100000,14,133
50,0.142001,1.605194,0.691,0.410,0.100000,0,136
51,0.141496,1.669234,0.692,0.379,0.100000,1,139
52,0.142174,1.595763,0.688,0.413,0.100000,0,141
53,0.141442,1.601939,0.693,0.420,0.100000,0,145
54,0.141427,1.636075,0.694,0.400,0.100000,1,147
55,0.141208,1.715172,0.694,0.369,0.100000,2,150
56,0.141106,1.642278,0.692,0.391,0.100000,3,153
57,0.141732,1.689573,0.692,0.378,0.100000,4,156
58,0.141248,1.655873,0.692,0.379,0.100000,5,159
59,0.141466,1.656117,0.692,0.404,0.100000,6,161
60,0.141264,1.601953,0.692,0.421,0.100000,0,164
61,0.141036,1.624334,0.693,0.400,0.100000,1,167
62,0.141154,1.626074,0.693,0.386,0.100000,2,170
63,0.141105,1.612141,0.695,0.404,0.100000,3,173
64,0.141181,1.607513,0.695,0.418,0.100000,4,175
65,0.141233,1.630968,0.694,0.399,0.100000,5,178
66,0.140835,1.681161,0.694,0.370,0.100000,6,182
67,0.141177,1.643474,0.695,0.394,0.100000,7,184
68,0.140919,1.667633,0.695,0.378,0.100000,8,187
69,0.141441,1.767385,0.692,0.346,0.100000,9,190
70,0.140881,1.617983,0.695,0.401,0.100000,10,193
71,0.141165,1.637010,0.697,0.390,0.100000,11,195
72,0.141693,1.591720,0.692,0.418,0.100000,12,198
73,0.140913,1.611329,0.695,0.407,0.100000,13,201
74,0.140859,1.621790,0.697,0.398,0.100000,14,204
75,0.140782,1.639606,0.694,0.390,0.100000,15,206
76,0.140854,1.669260,0.698,0.386,0.100000,16,209
77,0.140691,1.598086,0.698,0.402,0.100000,17,213
78,0.141090,1.627062,0.696,0.404,0.100000,18,215
79,0.140851,1.638884,0.699,0.395,0.100000,19,218
80,0.140870,1.629546,0.696,0.406,0.100000,20,221
81,0.140952,1.663236,0.694,0.392,0.100000,21,224
82,0.140697,1.668542,0.697,0.392,0.100000,22,227
83,0.141339,1.629396,0.692,0.400,0.100000,23,229
84,0.140588,1.594184,0.697,0.411,0.100000,24,232
85,0.140838,1.631125,0.698,0.400,0.100000,25,235
86,0.140642,1.632848,0.697,0.400,0.100000,26,238
87,0.141289,1.631194,0.693,0.390,0.100000,27,241
88,0.140964,1.603658,0.695,0.391,0.100000,28,244
89,0.140661,1.632000,0.696,0.395,0.100000,29,246
90,0.140976,1.579006,0.694,0.418,0.100000,30,249
91,0.140310,1.729391,0.699,0.346,0.100000,31,252
92,0.140619,1.659330,0.698,0.396,0.100000,32,255
93,0.140792,1.628068,0.696,0.405,0.100000,33,258
94,0.140631,1.698045,0.695,0.361,0.100000,34,261
95,0.140814,1.596875,0.697,0.414,0.100000,35,264
96,0.140446,1.697811,0.698,0.355,0.100000,36,267
97,0.140676,1.613516,0.695,0.399,0.100000,37,269
98,0.140992,1.655794,0.695,0.396,0.100000,38,272
99,0.140578,1.609740,0.698,0.400,0.100000,39,275
100,0.140232,1.676429,0.698,0.368,0.100000,40,278
101,0.125954,1.413931,0.762,0.486,0.010000,0,281
102,0.121324,1.370816,0.782,0.497,0.010000,0,284
103,0.119141,1.395336,0.789,0.493,0.010000,1,286
104,0.117901,1.358256,0.794,0.497,0.010000,0,289
105,0.116646,1.364965,0.797,0.511,0.010000,0,292
106,0.116181,1.370433,0.801,0.500,0.010000,1,294
107,0.115404,1.357832,0.802,0.509,0.010000,2,297
108,0.114809,1.363784,0.806,0.511,0.010000,0,300
109,0.114464,1.360896,0.808,0.493,0.010000,1,302
110,0.113870,1.357236,0.810,0.509,0.010000,2,305
111,0.113850,1.348551,0.812,0.505,0.010000,3,308
112,0.113730,1.352207,0.811,0.516,0.010000,0,311
113,0.113229,1.354228,0.814,0.499,0.010000,1,313
114,0.112681,1.347406,0.818,0.499,0.010000,2,316
115,0.112980,1.358221,0.815,0.500,0.010000,3,319
116,0.112786,1.374838,0.819,0.498,0.010000,4,321
117,0.112329,1.356345,0.819,0.502,0.010000,5,325
118,0.111969,1.388979,0.820,0.488,0.010000,6,327
119,0.112133,1.376108,0.819,0.490,0.010000,7,330
120,0.111381,1.366504,0.820,0.496,0.010000,8,333
121,0.111022,1.351039,0.825,0.502,0.010000,9,336
122,0.110730,1.362405,0.825,0.500,0.010000,10,338
123,0.110829,1.375694,0.827,0.490,0.010000,11,340
124,0.110281,1.363941,0.829,0.502,0.010000,12,342
125,0.110341,1.367559,0.828,0.502,0.010000,13,345
126,0.110169,1.383323,0.829,0.489,0.010000,14,347
127,0.109719,1.344564,0.831,0.503,0.010000,15,350
128,0.109723,1.362693,0.829,0.496,0.010000,16,353
129,0.109941,1.362511,0.831,0.502,0.010000,17,356
130,0.109267,1.393270,0.831,0.484,0.010000,18,359
131,0.109125,1.351573,0.832,0.506,0.010000,19,362
132,0.109105,1.346666,0.833,0.500,0.010000,20,364
133,0.108838,1.377270,0.832,0.503,0.010000,21,367
134,0.108414,1.369102,0.835,0.501,0.010000,22,370
135,0.108358,1.354801,0.834,0.502,0.010000,23,373
136,0.107959,1.357748,0.837,0.499,0.010000,24,376
137,0.107940,1.358009,0.838,0.499,0.010000,25,378
138,0.107253,1.384194,0.837,0.490,0.010000,26,381
139,0.107557,1.377462,0.838,0.494,0.010000,27,384
140,0.107424,1.364873,0.840,0.499,0.010000,28,387
141,0.106909,1.368412,0.837,0.495,0.010000,29,390
142,0.107204,1.377484,0.839,0.497,0.010000,30,392
143,0.106827,1.356656,0.840,0.496,0.010000,31,395
144,0.106528,1.369871,0.842,0.503,0.010000,32,398
145,0.106947,1.374206,0.842,0.490,0.010000,33,400
146,0.106370,1.371374,0.844,0.496,0.010000,34,403
147,0.106629,1.359948,0.842,0.501,0.010000,35,406
148,0.106120,1.365810,0.842,0.494,0.010000,36,408
149,0.106248,1.358917,0.840,0.500,0.010000,37,412
150,0.105750,1.387279,0.845,0.488,0.010000,38,414
151,0.095553,1.287050,0.876,0.516,0.001000,39,416
152,0.091599,1.273941,0.885,0.525,0.001000,0,418
153,0.089917,1.278712,0.886,0.523,0.001000,1,421
154,0.088686,1.288914,0.889,0.516,0.001000,2,423
155,0.087959,1.281491,0.890,0.520,0.001000,3,426
156,0.086932,1.287086,0.892,0.516,0.001000,4,429
157,0.086298,1.283295,0.894,0.518,0.001000,5,431
158,0.085769,1.294356,0.897,0.515,0.001000,6,434
159,0.085412,1.295400,0.897,0.515,0.001000,7,436
160,0.084575,1.303756,0.896,0.513,0.001000,8,439
161,0.084108,1.281861,0.899,0.510,0.001000,9,442
162,0.083124,1.291487,0.901,0.515,0.001000,10,445
163,0.083268,1.292882,0.900,0.510,0.001000,11,448
164,0.082721,1.306474,0.901,0.512,0.001000,12,450
165,0.082687,1.314746,0.900,0.512,0.001000,13,453
166,0.082003,1.307070,0.904,0.518,0.001000,14,455
