_epoch,train_loss,valid_loss,acc,val_acc,lr,early_stopping,elapsed_time
1,6.948553,2.287375,0.122,0.162,0.100000,0,3
2,6.281599,2.132654,0.209,0.218,0.100000,0,6
3,5.944959,2.158289,0.245,0.245,0.100000,0,10
4,5.760123,2.096755,0.268,0.246,0.100000,0,13
5,5.576204,2.038526,0.286,0.269,0.100000,0,17
6,5.432292,1.957463,0.303,0.299,0.100000,0,20
7,5.293907,1.974333,0.322,0.302,0.100000,0,24
8,5.190944,1.995257,0.332,0.289,0.100000,1,27
9,5.100355,2.397817,0.344,0.255,0.100000,2,31
10,5.026031,1.914847,0.356,0.318,0.100000,0,34
11,4.963267,2.032711,0.361,0.307,0.100000,1,38
12,4.920483,1.987678,0.369,0.300,0.100000,2,41
13,4.877313,2.065482,0.374,0.323,0.100000,0,45
14,4.845834,1.959787,0.377,0.316,0.100000,1,48
15,4.817999,1.785320,0.383,0.353,0.100000,0,51
16,4.794104,1.899856,0.384,0.327,0.100000,1,55
17,4.759955,2.149207,0.388,0.321,0.100000,2,58
18,4.740260,2.287844,0.390,0.301,0.100000,3,62
19,4.718898,1.927872,0.395,0.357,0.100000,0,65
20,4.698521,2.432783,0.398,0.310,0.100000,1,69
21,4.692745,1.872036,0.397,0.359,0.100000,0,72
22,4.657696,1.999536,0.404,0.340,0.100000,1,76
23,4.665622,1.931209,0.398,0.349,0.100000,2,79
24,4.660421,2.217999,0.405,0.308,0.100000,3,82
25,4.635410,1.856966,0.403,0.349,0.100000,4,86
26,4.627487,1.853770,0.405,0.355,0.100000,5,89
27,4.626525,1.873487,0.406,0.371,0.100000,0,93
28,4.621718,1.789258,0.407,0.364,0.100000,1,96
29,4.615628,1.827262,0.408,0.365,0.100000,2,100
30,4.607637,1.838183,0.409,0.344,0.100000,3,103
31,4.606721,1.843543,0.409,0.344,0.100000,4,107
32,4.598484,1.877950,0.411,0.357,0.100000,5,110
33,4.590088,1.900837,0.413,0.344,0.100000,6,114
34,4.561612,1.868067,0.415,0.352,0.100000,7,117
35,4.574629,1.742231,0.414,0.367,0.100000,8,120
36,4.561444,2.161706,0.415,0.314,0.100000,9,124
37,4.570742,1.916706,0.416,0.348,0.100000,10,127
38,4.554010,1.857043,0.415,0.354,0.100000,11,131
39,4.552020,1.829443,0.416,0.355,0.100000,12,134
40,4.544177,1.949389,0.416,0.347,0.100000,13,138
41,4.546222,1.922038,0.418,0.340,0.100000,14,141
42,4.539984,1.871065,0.419,0.350,0.100000,15,145
43,4.532891,1.954792,0.420,0.347,0.100000,16,148
44,4.532769,1.896450,0.419,0.375,0.100000,0,152
45,4.533845,1.871373,0.419,0.362,0.100000,1,155
46,4.511041,1.929489,0.422,0.343,0.100000,2,159
47,4.535300,2.093127,0.421,0.304,0.100000,3,162
48,4.520783,1.956467,0.423,0.359,0.100000,4,165
49,4.521669,1.900644,0.421,0.356,0.100000,5,169
50,4.519381,1.747680,0.419,0.373,0.100000,6,172
51,4.522825,2.032379,0.424,0.364,0.100000,7,176
52,4.500179,1.949001,0.425,0.370,0.100000,8,179
53,4.512933,1.846302,0.422,0.348,0.100000,9,183
54,4.507497,2.034858,0.420,0.346,0.100000,10,186
55,4.493556,1.697404,0.424,0.375,0.100000,0,190
56,4.506006,1.862046,0.423,0.371,0.100000,1,193
57,4.492917,2.396800,0.425,0.313,0.100000,2,197
58,4.494917,2.078017,0.421,0.327,0.100000,3,200
59,4.518542,1.846679,0.422,0.371,0.100000,4,204
60,4.499539,1.882783,0.423,0.349,0.100000,5,207
61,4.495032,1.820157,0.423,0.372,0.100000,6,211
62,4.480888,1.998456,0.425,0.345,0.100000,7,214
63,4.479099,2.197502,0.425,0.329,0.100000,8,217
64,4.494234,2.106306,0.423,0.347,0.100000,9,221
65,4.475966,1.920961,0.426,0.370,0.100000,10,224
66,4.480328,1.990103,0.425,0.348,0.100000,11,228
67,4.487929,1.843085,0.426,0.367,0.100000,12,231
68,4.474794,1.889943,0.424,0.363,0.100000,13,235
69,4.472365,1.738445,0.427,0.384,0.100000,0,238
70,4.468591,1.807823,0.427,0.371,0.100000,1,242
71,4.468385,1.774803,0.427,0.389,0.100000,0,245
72,4.461600,1.884267,0.428,0.375,0.100000,1,248
73,4.474392,1.798288,0.427,0.369,0.100000,2,252
74,4.472698,1.859304,0.428,0.354,0.100000,3,255
75,4.475624,1.801561,0.425,0.365,0.100000,4,259
76,4.467970,2.284231,0.427,0.336,0.100000,5,262
77,4.486660,1.871602,0.425,0.350,0.100000,6,266
78,4.468186,1.774379,0.424,0.386,0.100000,7,269
79,4.476030,1.944212,0.425,0.341,0.100000,8,273
80,4.468876,1.846155,0.423,0.368,0.100000,9,276
81,4.474705,1.824868,0.426,0.368,0.100000,10,280
82,4.473447,1.855270,0.428,0.350,0.100000,11,283
83,4.459155,2.000287,0.429,0.348,0.100000,12,286
84,4.459316,1.965606,0.429,0.348,0.100000,13,290
85,4.465857,1.889924,0.427,0.347,0.100000,14,293
86,4.472490,1.936995,0.427,0.350,0.100000,15,297
87,4.457937,2.226650,0.427,0.344,0.100000,16,300
88,4.465602,2.314408,0.430,0.307,0.100000,17,304
89,4.473590,1.934398,0.425,0.368,0.100000,18,307
90,4.458127,2.308925,0.430,0.315,0.100000,19,311
91,4.450981,1.826347,0.430,0.370,0.100000,20,314
92,4.447767,1.831880,0.431,0.360,0.100000,21,318
93,4.445186,1.710780,0.431,0.395,0.100000,0,321
94,4.434330,1.943954,0.433,0.350,0.100000,1,324
95,4.449572,1.702831,0.428,0.388,0.100000,2,328
96,4.450931,2.295605,0.430,0.321,0.100000,3,331
97,4.452494,1.787762,0.430,0.371,0.100000,4,335
98,4.448420,2.053458,0.430,0.331,0.100000,5,338
99,4.461839,2.049552,0.430,0.352,0.100000,6,342
100,4.455710,1.806776,0.429,0.371,0.100000,7,345
101,3.910952,1.519355,0.492,0.472,0.010000,0,349
102,3.725649,1.434538,0.515,0.482,0.010000,0,352
103,3.651434,1.464955,0.523,0.480,0.010000,1,355
104,3.594574,1.514578,0.531,0.483,0.010000,0,359
105,3.542055,1.451723,0.535,0.495,0.010000,0,362
106,3.514195,1.522674,0.539,0.479,0.010000,1,366
107,3.468128,1.543260,0.541,0.478,0.010000,2,369
108,3.447821,1.530677,0.545,0.480,0.010000,3,373
109,3.432233,1.505100,0.547,0.482,0.010000,4,376
110,3.410031,1.624543,0.551,0.473,0.010000,5,380
111,3.385250,1.531445,0.551,0.482,0.010000,6,383
112,3.369222,1.551276,0.554,0.485,0.010000,7,387
113,3.356818,1.652166,0.556,0.473,0.010000,8,390
114,3.348537,1.714846,0.552,0.469,0.010000,9,393
115,3.330566,1.635376,0.558,0.471,0.010000,10,397
116,3.315850,1.683251,0.558,0.475,0.010000,11,400
117,3.309495,1.709499,0.560,0.467,0.010000,12,404
118,3.284366,1.628397,0.565,0.471,0.010000,13,407
119,3.269836,1.597683,0.566,0.482,0.010000,14,411
120,3.256886,1.650066,0.564,0.475,0.010000,15,414
121,3.261755,1.656440,0.565,0.475,0.010000,16,418
122,3.258758,1.649234,0.565,0.479,0.010000,17,421
123,3.233464,1.703479,0.568,0.471,0.010000,18,425
124,3.209403,1.663469,0.573,0.474,0.010000,19,428
125,3.195108,1.704841,0.571,0.476,0.010000,20,431
126,3.191348,1.762834,0.572,0.461,0.010000,21,435
127,3.175269,1.747992,0.573,0.472,0.010000,22,438
128,3.160974,1.671874,0.576,0.476,0.010000,23,442
129,3.145126,1.689677,0.579,0.463,0.010000,24,445
130,3.158799,1.838626,0.572,0.460,0.010000,25,449
131,3.128542,1.636959,0.579,0.475,0.010000,26,452
132,3.111542,1.791793,0.581,0.463,0.010000,27,456
133,3.139482,1.744989,0.578,0.467,0.010000,28,459
134,3.087518,1.760652,0.581,0.465,0.010000,29,462
135,3.079479,1.761534,0.584,0.466,0.010000,30,466
136,3.080064,1.815185,0.584,0.462,0.010000,31,469
137,3.064099,1.880032,0.586,0.461,0.010000,32,473
138,3.063350,1.845331,0.584,0.458,0.010000,33,476
139,3.055632,1.818149,0.586,0.467,0.010000,34,480
140,3.046999,1.789567,0.591,0.460,0.010000,35,483
141,3.034714,1.781435,0.589,0.470,0.010000,36,487
142,3.006892,1.832106,0.591,0.476,0.010000,37,490
143,3.034019,1.802841,0.588,0.474,0.010000,38,494
144,2.993192,1.757947,0.594,0.464,0.010000,39,497
145,2.990992,1.862038,0.593,0.461,0.010000,40,500
146,2.980330,1.862723,0.597,0.473,0.010000,41,504
147,2.969908,1.789506,0.596,0.466,0.010000,42,507
148,2.957296,1.931235,0.596,0.460,0.010000,43,511
149,2.961544,1.964890,0.596,0.459,0.010000,44,514
150,2.945647,1.907561,0.598,0.469,0.010000,45,518
151,2.539415,1.856763,0.649,0.504,0.001000,0,521
152,2.341799,1.930323,0.670,0.500,0.001000,1,525
