_epoch,train_loss,valid_loss,acc,val_acc,lr,early_stopping,elapsed_time
1,0.196310,2.016779,0.215,0.245,0.100000,0,2
2,0.178051,1.952639,0.270,0.267,0.100000,0,5
3,0.168942,1.885085,0.303,0.305,0.100000,0,8
4,0.163350,1.827212,0.325,0.298,0.100000,1,10
5,0.159061,1.822841,0.343,0.322,0.100000,0,13
6,0.156165,1.783718,0.358,0.324,0.100000,0,15
7,0.153610,1.760931,0.370,0.347,0.100000,0,18
8,0.152252,1.755598,0.377,0.345,0.100000,1,21
9,0.150680,1.759146,0.385,0.337,0.100000,2,23
10,0.149413,1.705569,0.391,0.363,0.100000,0,25
11,0.148687,1.706943,0.395,0.372,0.100000,0,28
12,0.147695,1.683906,0.400,0.369,0.100000,1,30
13,0.146832,1.726037,0.404,0.352,0.100000,2,33
14,0.146824,1.642640,0.404,0.384,0.100000,0,35
15,0.145899,1.701118,0.409,0.363,0.100000,1,38
16,0.145332,1.680218,0.411,0.380,0.100000,2,41
17,0.144953,1.654817,0.415,0.382,0.100000,3,43
18,0.144679,1.697709,0.416,0.365,0.100000,4,46
19,0.144451,1.658701,0.414,0.370,0.100000,5,49
20,0.143966,1.663502,0.419,0.379,0.100000,6,52
21,0.143955,1.686219,0.421,0.366,0.100000,7,55
22,0.143903,1.737072,0.421,0.358,0.100000,8,58
23,0.143011,1.636756,0.422,0.389,0.100000,0,61
24,0.142935,1.619531,0.426,0.398,0.100000,0,64
25,0.142773,1.729068,0.425,0.356,0.100000,1,66
26,0.142476,1.648086,0.428,0.401,0.100000,0,70
27,0.142145,1.686869,0.428,0.360,0.100000,1,72
28,0.142608,1.621096,0.426,0.393,0.100000,2,75
29,0.141940,1.604851,0.429,0.413,0.100000,0,78
30,0.141883,1.630586,0.428,0.389,0.100000,1,80
31,0.141928,1.667185,0.428,0.375,0.100000,2,83
32,0.141886,1.631575,0.429,0.386,0.100000,3,86
33,0.141501,1.656134,0.433,0.373,0.100000,4,89
34,0.141326,1.625341,0.430,0.405,0.100000,5,92
